"date","symbol","market_cap"
2022-07-31,"TPIA.JK",2.05465e+14
2022-07-31,"ASII.JK",2.56058e+14
2022-07-31,"UNVR.JK",1.72057e+14
2022-07-31,"ARTO.JK",1.45065e+14
2022-07-31,"BBCA.JK",8.97011e+14
2022-07-31,"BBRI.JK",6.54189e+14
2022-07-31,"BMRI.JK",3.82305e+14
2022-07-31,"GOTO.JK",3.50572e+14
2022-07-31,"TLKM.JK",4.19033e+14
2022-06-30,"BYAN.JK",2.59833e+14
2022-06-30,"TPIA.JK",1.94651e+14
2022-06-30,"ASII.JK",2.68204e+14
2022-06-30,"UNVR.JK",1.81976e+14
2022-06-30,"BBCA.JK",8.84807e+14
2022-06-30,"BBNI.JK",1.44928e+14
2022-06-30,"BBRI.JK",6.2268e+14
2022-06-30,"BMRI.JK",3.66135e+14
2022-06-30,"GOTO.JK",4.59533e+14
2022-06-30,"TLKM.JK",3.96249e+14
2022-05-31,"BYAN.JK",1.7925e+14
2022-05-31,"TPIA.JK",2.21145e+14
2022-05-31,"ASII.JK",2.97554e+14
2022-05-31,"UNVR.JK",1.8045e+14
2022-05-31,"BBCA.JK",9.45828e+14
2022-05-31,"BBNI.JK",1.6939e+14
2022-05-31,"BBRI.JK",6.94701e+14
2022-05-31,"BMRI.JK",3.927e+14
2022-05-31,"GOTO.JK",3.60047e+14
2022-05-31,"TLKM.JK",4.26958e+14
2022-04-30,"TPIA.JK",2.1736e+14
2022-04-30,"ASII.JK",3.06663e+14
2022-04-30,"ARTO.JK",1.59811e+14
2022-04-30,"BBCA.JK",9.91594e+14
2022-04-30,"BBNI.JK",1.70314e+14
2022-04-30,"BBRI.JK",7.30711e+14
2022-04-30,"BMRI.JK",4.1349e+14
2022-04-30,"EMTK.JK",1.83113e+14
2022-04-30,"GOTO.JK",3.22147e+14
2022-04-30,"TLKM.JK",4.57667e+14
2022-03-31,"BYAN.JK",1.445e+14
2022-03-31,"TPIA.JK",2.18442e+14
2022-03-31,"ASII.JK",2.66179e+14
2022-03-31,"ARTO.JK",2.00964e+14
2022-03-31,"BBCA.JK",9.73287e+14
2022-03-31,"BBNI.JK",1.52313e+14
2022-03-31,"BBRI.JK",6.99202e+14
2022-03-31,"BMRI.JK",3.6498e+14
2022-03-31,"EMTK.JK",1.50042e+14
2022-03-31,"TLKM.JK",4.53705e+14
2022-02-28,"TPIA.JK",1.95192e+14
2022-02-28,"ASII.JK",2.34805e+14
2022-02-28,"UNVR.JK",1.40392e+14
2022-02-28,"ARTO.JK",2.21884e+14
2022-02-28,"BBCA.JK",9.82441e+14
2022-02-28,"BBNI.JK",1.47697e+14
2022-02-28,"BBRI.JK",6.82698e+14
2022-02-28,"BMRI.JK",3.5574e+14
2022-02-28,"EMTK.JK",1.2677e+14
2022-02-28,"TLKM.JK",4.2993e+14
2022-01-31,"BYAN.JK",1.22667e+14
2022-01-31,"TPIA.JK",1.90866e+14
